,index,tweets,label
4184,3383,"@Jiseland Las tías: ¿COMO CARMENCITA MIJA??

Mentiras esas cosas no pasan. Las tías lenchas closeteras esas que “vivieron con su amiga toda la vida y nunca se casaron” se quedarán closeteras PARA SIEMPRE.",NP
2620,1819,"“La viruela símica no afecta solamente a hombres gay, aclaran OMS, verificadores y expertos” 
url",NP
2818,2017,"Si de la gente trans que conocen lo único que pueden recordar decir de quienes son y que hacen es que.. son trans.

Entonces déjenme decirles que neta no les conocen.",NP
901,100,"Si una lesbiana te dice que ""le vale verga"" imagínate que tanto le vale. #LGBT",NP
4497,3696,"Esta encuesta. Cuando le digo a la gente que cuesta mucho encontrar gente trans que sea hétero.

.. ya que piensan que una transiciona para poder “estar con hombres” y no procesan existamos mujeres trans lenchas. url",NP
6268,1107,@YovanyMartillo Ahorita te atiendo url,NA
829,28,@sspdgo @castrellon3 y alcalde @AlbiPonce en busca de coordinación y fortalecer trabajo en conjunto para #Seguridad de @SantiagoP_Trans url,NP
1419,618,"@GarciaJhosman @SalmaLuevano @FNxFamilia Aquí se pueden expresar ideas cortas. Te invito nuevamente a que me mandes un correo y te comparto información. Puedes dudar lo que sea, no me importa. Yo sí te creo que seas psicólogo y que seas homosexual: repito, no tengo por qué desacreditarte.",NP
4265,3464,@JavierArroyo_ @RoadandTrack es como de homosexuales tipo Nascar :/,NP
1219,418,"Hoy Noche de Ligue
TENEMOS LOS MEJORES STRIPPERS
además Karaoke+Travesti Show &amp; Discotek/Cover y Barra Libre $135 url",NP
1888,1087,"Jotos, es @bjork no es Anahí, dejen de quejarse y compren el boleto si pueden, y si no cállense alv",NP
3393,2592,"@Nebel_fleck Acabo de hacer un TikTok donde denunciaba el riesgo en el deporte femenil no son las mujeres trans (con estadísticas) sino el boom en hombres entrenadores violadores.

Ellas: “si si, pero las mujeres trans = injusto”. Ni pio de los violadores.",NP
6581,1420,"No sé que es peor los primeros 100 días de Trumpy o el puto tráfico de la ciudad. Creo el segundo, como q me causa mayor dolor de bolas.",NA
168,168,Ser valiente ponga #Foto y no Sea #Maricon  yo tengo mi foto @MarceTyS aunque también algo tapada pero me pongo con ud 🐜 url,P
6862,1701,"Últimamente ando muy estresada no tengo paciencia para nadie, me estoy volviendo loca? Digo.. más de lo que ya estaba",NA
2861,2060,"EEEEP! Ando cocinando una collab bonita con @elsaruizcomica 

Por si no la conocen, ella es como yo.. pero con audio en español de España. O yo soy como ella pero con subtítulos es_MX. Denle follow, banda 

VAMO’ A HACER COMEDIA TRANS * solo hablan de genitales en su standup * url",NP
2301,1500,"Que buena noticia, sin duda ayudará a las personas trans qué son derechohabientes. 
Un llamado urgente a la dirección del @ISSSTE_mx ya surtan medicamento y material de curación a toda la República sobré todo el tratamiento antiretroviral en Yucatán y asignen un infectologo url",NP
849,48,¡Escandala! Usuario aprovecha sus habilidades con la edición y trolea a Internet con supuesto amor entre @clarketo y la famosa drag @trixiemattel en #UNews #TodosSomosUnicable #BuenViernes #FelizFinde 🌈♥️ url,NP
5057,4256,Un ayudante maquilla a un concursante de un certamen de belleza #gay en Nuevo León en #Mexico .  REUTERS/Daniel Becerril url,NP
5814,653,"No te pierdas esta noticia  Marysol Sosa está ""contenta"" porque Anel Noroña es heredera universal de José José   COMO EL TIRO NO LE SALIÓ COMO ELLA QUERÍA ahora se siente muy feliz  Se quedó vestida y alborotada",NA
4421,3620,"Nuevo himno. 

Marica.. amiga ya! 

 url",NP
5953,792,El mejor contención de todo el puto continente. url,NA
6193,1032,@JorgBlumen Vieja loca,NA
1723,922,"Hay canciones que lo ponen todo marica a uno, que mamera",NP
5821,660,Me quede como novia de pueblo vestida y alborotada. ,NA
360,360,@FulanitOArteaga o sea que es un wey qué le gusta recibir y que no es obvio o afeminado. Qué eso no lo sabes tú maricón?,P
4828,4027,¡Claro! La jauría trans. Espectacular proyecto. url,NP
6636,1475,Presentan primera carrera nocturna de @transformers 5K que se celebrará el 1 de julio en el Hipódromo de Las Américas @record_mexico @Hasbro url,NA
4413,3612,"@laurelyeye @johnnycarmona Yeap. Llevo ya 8 años de hacer videos “la diferencia entre travesti, transgénero y transexual”.

De hecho me han invitado TRES VECES del mismo medio a hacer este contenido. Yo más bien siento que es que no se les ocurre mucho más que hablar del tema. La neta.",NP
1653,852,Por culpa de @headhunterz  no soy 100% homosexual.,NP
3654,2853,"Hice un mini conteo y me percaté que de 50-ytantas amigas trans que tengo (conozco/hablo con/se de), solo como 4 son ESTRICTAMENTE heterosexuales, 6 tops.

Las demás somos mujeres lesbianas o bi/pan. Me pregunto si esto es el estándar y LOS MEDIOS nos llevaron a creer otrs cosa.",NP
48,48,Si son bien jotos!!!!,P
2187,1386,"Yo, tratando de borrar tu recuerdo, y no se puede :'v

Desgraciada pintura que no quiere agarrar XO hay que darle otra pasada mañurl

#Gayselfie
#Gayboy
#Elhombredelacasa
#Inventada
#Fy
#Foryou
#gay url",NP
4946,4145,"@Sand_Avella De paso, hay MUCHA gente hétero en el movimiento LGBT+

Te doy un ejemplo, parejas de hombres trans con mujeres trans.. son hetero.

O mamás de hijes gay, o abuelas de mujeres lesbianas.

Tu.. Veñ. Mientras más bandera mejor.",NP
5893,732,"@sparklingmaris yo decía ji-f (con jota, como si estuviera en español pues, como giras).",NA
5076,4275,@teufel_greulich @luisjsalazarv Y una que es trans.. la bajan :/,NP
792,792,"Jajaja ... espero que tú también aguantes y te rías cuando los epítetos lanzados a las mujeres  por el simple hecho de serlo te toquen a ti: “maricón”, “mal cogido”, “histérico”, “menopáusico”, “visceral”, “ninguna verga te acomoda”, “pinche viejo”, “estridente”, “brujo” y más. url",P
371,371,"noche de sushi, es lo mas gay",P
1814,1013,"Martes Coketo!!
Sigo buscando un Sexfriend de Planta. #Besitos #Shemale #LadyBoy #Tvs #Tranny #Trans #Puebla url",NP
4987,4186,#Entérate Polémica en #Indiana por ley que permite a negocios negar servicio a homosexuales url url,NP
4637,3836,"Oigan .. me acaban de pasar esto. ¡Una mujer trans en pilotaje de carreras! —&gt; Ana Sofía Villaseñor ⚡️⚡️

Todo esto es en IG así que nomás chequen las arrobas allá. url",NP
5429,268,"@RodadaCDMX @tatclouthier @Laura_Rojas_ @mario_delgado @Dolores_PL @Javier_Hidalgo No es la primera. Muchos años atrás pintamos ahí una ciclovía ciudadana exigiendo 5% del presupuesto de transporte a transporte sustentable, (los diputades en turno la borraron al día siguiente). Felicitamos la acción e invitamos a que se destine presupuesto 2020 al trans susten. url",NA
1682,881,"Nuestra @lynmaychi se une al #pride2020 con este video en apoyo a la comunidad #lgbt #lesbico #gay #bisexual #transexual #diversidad
.
En @witzi_teve #LoMásEspectacular #LynMay #vedette #show #bailarina #gaypride… url",NP
3934,3133,Ahora imagínense esta mujer diciéndole a sus amigas que sí están adentro: “es que la app determinó yo era trans” 😂,NP
5583,422,"Me gustaría poder tener pezones pequeños, así como de moneda de 5 centavos, pero me cargo unos putos pezones de Hot Cake #ThatNotCool 😒",NA
395,395,¡¡Chingó a su madre nuestra puta moral!!,P
3054,2253,@RealMaroSilva @honeystarla @davidallegre jajaja si. Pero admitir valentía es darle la razón a la heteronorma. No tiene nada raro ser Trans.,NP
2180,1379,"5 Cinco mujeres Trans asesinadas en menos de una semana  en México,subiendo los índices en estos crimenes de odio un 300%. @CONAPRED @FGRMexico @senadomexicano @Mx_Diputados @monicagarzag @M_OlgaSCordero",NP
144,144,Toño es joto,P
1537,736,"Soy hetero normado.
Trans normado.
Y nunca gay normado. Y !!! ???",NP
3522,2721,"@khuriel “Hola.. SOY TRANS BITCHES!!” 🎶 * suena música * VEAN A LA ANDREA BIEN PERRUCHIS POST FFS

.. “ya, eso Es toda la sensibilización. Gracias por venir” * le agarra a una galleta del coffee break *",NP
6910,1749,Martha Z. no estudió formalmente. Recurrió a los libros y ahora es una importante biógrafa: url url,NA
2679,1878,Pertenezco a la generación de la persecución y horrores vividos durante muchos años. Me considero uno de los forjadores de la brecha de la libertad gay actualmente tienen y maravilloso que la disfruten. Vivimos muchos horrores fuimos mancillados perseguidos y señalados pecadores url,NP
910,109,Ester Expósito está muy aykermosa y aún así no siento atracción física por ella. Creo que me estoy volviendo asexual a la verga.  😂,NP
2090,1289,MWES -  La Ley del Amor lleva más de 1.000 firmas a favor de la unión homosexual  - Trabajan con la Ley del Amor… url,NP
5140,4339,"@Manuel_Ibarra Buuu hay un chingo de mujeres trans que posible y conoces que no sabes son trans.
Y ni hablar de los CHICOS trans. Esos si que son mega invisibles.",NP
2734,1933,@danonedark @Patestreller Yo prefiero ser trans. Mil gracias. Mi etiqueta no es fea.,NP
2225,1424,Dónde está su puto #Griezmann,NP
4281,3480,"Te invitamos conozcas como en la #CDMX trabajamos por el trato igualitario, eliminado la discriminación @COPRED_CDMX url",NP
3062,2261,@EriitheD te súper entiendo. Yo a veces tengo días de evitar ver gente straight. Cuando estoy cansada de explicar lo Trans a toda hora.,NP
5086,4285,"@cesargalicia_ @ContraPoints Confirmo. Y no necesariamente con lo tildado promiscuo, todo el aspecto relacional. Admito en una época me pesaba escuchar cosas como el “oh si. Yo y mis múltiples vínculos, en las apps de ligue”.

Y una como mujer trans pensando que todo eso es lujo Cis. url",NP
4310,3509,¡Aplica para lo trans racial también!,NP
3233,2432,"“Ha habido maricones toda la historia del mundo…”

- @paquitasalasps 

#pride #pridemonth #orgullo #lgbtq🌈 en Mexico City, Mexico url",NP
2458,1657,"@ateoguadalupano te la rifaste machin en tu verdad o shot, 
Weeey te mamaste termine llorando como lesbiana ebria igual que Nelly u.u",NP
4703,3902,"ACTUALIZACIÓN: @monlaferte retira su participación del concierto y reitera su apoyo a colectivos Feministas, trans, LGBTTTIQ+ (¡Gracias, Mon!) url",NP
5306,145,@multimediostv Chavana yo no bi a ludi bailar,NA
3764,2963,"@Le_Dudette @plaqueta No es LO MAAAAXIMO ESE LIBROOOO????

Yo morí con el BUEN trato que le da al tema de las viejas trans y los genitales y el arte de @Andonella8 y.. AAAAAAAAA LO AMÉ",NP
4003,3202,"@UnVatoAnalogo @mamaresiliente @ReneeGoust Dedico esta canción acerca de la vida LGBT+. Grabada con la bruja de Texcoco, quien es trans ^_^ url",NP
6386,1225,@sexroom22's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,NA
5253,92,"La neta se ven bien pendejos con chamarra o pantalón militar, lo cagado es que toda la prepa está vestida así. Wtf es el nuevo uniforme.",NA
405,405,"Por grito homófobo FIFA multa a México por más de dos millones de pesos url vía @regeneracionmx
Ya está bien de defender a los homosexuales que lo único a lo que nos van a conducir es a la destrucción de la familia, DEPRAVADOS basta de su protagonismo",P
1227,426,"""No midas tu progreso con la regla de otra persona.""
.
.
.
.
#tuyyosomoscocut #cocutlgbti #cocut #lgbt #lgbtlove #love #amoresamor #loveislove #lgbtquotes #quotes #citas #lesbian #gay #bisexual #trans #queer… url",NP
5503,342,#Catedral de #Puebla @ Catedral De La Ciudad De Puebla url,NA
6101,940,@tommmy27 Muchas gracias @tommmy27 !!! Saca la peda loca!!! 🤙🏼,NA
4652,3851,"La presidenta de este Consejo, @Geraldina_GV, señaló que las lesbianas sufren una doble discriminación por su condición de mujeres y lesbianas. Recordó que hay que destacar la presencia de la letra L en el acrónimo #LGBT, que en ocasiones suele invisibilizarse. url",NP
670,670,A ver si ya me dejas de stalkear maricon,P
5945,784,"Puta madre aposté en las carreras de caballos, y perdí, ganando como siempre",NA
6050,889,"@Agustin7_M @sofiaandri @LeoTrucchia72 @Pachetoh @Fdoedoe101101 @Rramirez587 @NicoFernandez45 Sigue siendo o mismo, al menos en mi mi reglamento escolar dice cómo tengo que venir vestida (deportivo o diario). A los hombres si no traen una playera debajo de la camisa no se les dice nada aunque se les noten los pezones. El corpiño va debajo de la blusa, es lo mismo",NA
5189,28,@carloschicken @hibalo @LauAlmaraz los amo c/loca pasión han hecho q esta semana me levante c/toda la pila excelente serial! 2da parte x fa!,NA
2095,1294,"Mi uber es suuupee jota, 5 estrellas ✨",NP
6673,1512,Sabes que fue una #NocheBuena cuando te dormiste vestida y amaneces con un cara de papa-Yoda encajado en la espalda 🎄 url,NA
742,742,Manny Pacquiao: “ #Homosexuales son peores que los animales” url,P
6239,1078,Esa sensación de cuando escuchas los tacones por el url url viene vestida? url,NA
6671,1510,Ella en la mañana vestida de papá 😍😍😍😍😍😍!!!!! La ame me hace reír y hace que mi vida sea… url,NA
6407,1246,Fue Una noche de copas 🍸🍷 Una noche loca 💃 @MariaConchita_A ❤❤❤ url,NA
5797,636,"Puras, putas, malas ideas!!",NA
6991,52,@aleg0mez me cago de risa el twit de joto el que se dio cuenta que no tenía la corona hahaha,P
6072,911,En el psicólogo tampoco le van a decir que está loca. 🤔 url,NA
1338,537,@AlonsoMendivil @CarlosLealMx Será que en el Distrito del diputado @CarlosLealMx no habitan ciudadanos y ciudadanas gays y lesbianas que tienen igualdad de derechos de que se les represente? O el Vicepresidente del Congreso de Nuevo León solo representa exclusivamente a ciudadanos heterosexuales?,NP
2288,1487,"@balebertha @heyteddypicker Pensaba que era homosexual.
Perdón jajaja",NP
5171,10,Yo diría que esa IA es closetera y proyecta sus deseos contra fotos. Quizás le hace falta llevarla a un bar.. con amigos amables. url,NA
2998,2197,"@JurassicDude el que me corrieran de hacer Bikram Yoga por este motivo dice que ""me vale madres, yo no voy a dejar este maricón aquí""",NP
4996,4195,"La ideología de género también mata. Una pareja de lesbianas en México asesinaron a su “hijo” después de que éste se rehusara a vestirse como niña.
url",NP
5426,265,Me perdieron mi bote favorito y ahora estoy que me lleva LA PUTA VERGA,NA
882,81,"Ya estoy acostumbrada al dolor, a tanto drama y a todo 💅 nobody can drag me down 💪 desde el 2012 #HarryBeCareful  #LouisIsGoingToBeADad",NP
2910,2109,Me pregunto si las dragas del ayer dicen “hoy en día cualquiera hace drag” y lo ven como algo malo.,NP
590,590,Hay algún jugador más puto y maricon que Gago???? @MatiDiGia,P
4005,3204,Creo que 8 de cada 10 Danielas que conozco son lesbianas.,NP
1946,1145,"Uno de mis bff gay me dijo que le gusta una mujer.
#alteraciondelordenmundial
#breakingtheinternet",NP
6593,1432,"Una vez q quiero sacarme una foto ""normal"" ella me trata como a una loquita. Amo a la morocha de mi vida ❤️👧🏻👱🏻‍♀️💆🏼💃🏼💃🏻 url",NA
3792,2991,El papa Francisco apoya las uniones civiles entre url Va a encantar ver las respuestas de todos los católicos de hueso colorado ... @el_pais url,NP
273,273,Parezco puto Omi de duelo Xiaolin url,P
976,175,"☠️Leather Neck☠️☠️Falda a Cuadro☠️
🌿$100🌿🌿$200🌿

#sexygay #vil #mexico #arnes #cdmx #harness #todxslxscuerpxs #vilharness #lgbt #gaymexico #bisexual #lesb #gaycdmx #transexual #arneshombre #unisex #arnés #arneses #lenceriahombre #lenceria #gayfetish #fetiche #fetish url",NP
5376,215,No se cuantos días llevo sin ver al Fercho pero les puedo decir que me estoy volviendo loca.,NA
5110,4309,"@PaveloRockstar Ay. Gracias.

Sin mencionar que el 90% de los chistes transfobicos a la par son combo homofóbicos y misóginos.

Nos leen como hombres y entonces el humor es “hombre le gusta el falo del trans JUAJUA RÍANSE JAJAJAJA A UN HOMBRE LE GUSTA EL PITO QUE VA A HACER.. RECIBIR? JUARJUAR”",NP
4582,3781,"#VisibilidadTrans en la televisión url #FeelGood:
Creada  y escrita por la comediante #MaeMartin, quien interpreta a #MaeMartin, personaje transgenero no binario y bisexual.
Se puede ver en @NetflixLAT.
#TransIsBeautiful #TransDayOfVisibility url",NP
4416,3615,"Mándanos tu nombre completo a redes@url y llévate un pase para ver a @XSomosChavass

Los primeros serán los ganadores.

url",NP
2046,1245,@Lamasdraga Yo dragueada y enojada porque me dejaron vestida y alborotada. JAJAJAJA 🤣 url,NP
3296,2495,"@jaqemate @__Edouard @renatapasiflora hay un personaje trans en un algo de kojima, que me caga sea rumor y no lo digan así de PUES SI Y.",NP
2239,1438,"Ser homosexual es una actitud frente a la cama, ser puto es una actitud frente a la vida.",NP
3201,2400,"Ah 🙌🏼 lesbianas 😍 ¿quién no ha vivido amores así de intensos? 🌈 Tienen que ver ""Barash"" chavas @PremioMaguey url",NP
2052,1251,"@Axmv10 La neta sí, mayate.",NP
4448,3647,Hijole @multimediostv es que justamente no confiamos en ustedes porque constantemente hacen burlas y tienen contenidos homo/lesbo/bi/transfóbicos. Estaremos observándoles. 🔎 url,NP
4648,3847,Solo me asomo para recordarles que también hay HOMBRES trans (transicionan de mujer a hombre). Y que son guaAAAAAAAPISIMOS. url,NP
1734,933,Mañana nos vemos para hablar de #VisibilidadLésbica  #Lesbiana yo soy lesbiana porque me gusta y me da la gana!!! url,NP
2485,1684,"*Cae tantita #nieve*

Los #gays: url",NP
1796,995,"@RadioWera // Exacto!!! Qué tal @ManceraMiguelMX, feliz con las bodas gay, muy bien, pero de ninguna manera es prioridad! Que se case no?",NP
6919,1758,El Bi Campeonato del @AtlasFC no tendría sentido sin el trabajo y la convicción de @Diegococca1. ¿Cuál es el secreto? url,NA
5105,4304,Etiqueta no rigurosa: la historia de dos hombres y su lucha para casarse en Mexicali url vía @Pajaropolitico,NP
4415,3614,"¿Saldrías con una chica trans? @_macb se avienta a tener una cita a ciegas en #AsíSomos, repetición este domingo a las 2:30 pm por @UnicableOficial ♥️🏳️‍🌈 #BuenViernes #TodosSomosUnicable #FelizFinde url @jonasvloggers url",NP
3334,2533,@AndyZuno Aquí devorando las horas para disfrutar el capítulo de hoy @papaATMof @lasestrellasof @programa_hoy @TVyNovelasMex @Raucoronado @RosyOcampo y a usted señora linda gracias por siempre apoyar con dignidad la vida homosexual sin morbos y mucho amor,NP
2252,1451,"Qué raro?
De la cantidad de enfermos por coronavirus, solo hombres y url
Discriminación!!!
Y los transgénero, gay, lésbicos, etc, etc?",NP
1868,1067,Tal vez el amor de mi vida es una mujer y yo jugándole al homosexual.,NP
3770,2969,"#OrgulloEnJunio
En México se originó en 1971 el “Movimiento de Liberación Homosexual”. Luis González de Alba, Juan Jacobo Hernández, Carlos Monsiváis y Nancy Cárdenas, se destacaron como líderes del movimiento. url",NP
1139,338,"El amor que damos es el único amor que guardamos! 

#soñemos #amor #amorpropio #love #gay #lgbt #lgbtq #nice #me #boy #men #cool #picoftheday #sientetebien #smile #happy #tuesday en Condesa url",NP
6438,1277,"""Oye Oph.. esa Piña no es ""Loca"" por que contenga ningún estupefaciente"" url",NA
2904,2103,@HostileGradenko TRANS SISTER. Yep. Así.,NP
1284,483,Ayer en el #DiaInternacionalDeLasMujeresRurales visité a chicas trans y cis #trabajadorassexuales y #Meseras de cantinas que también viven de esto. Las tormentas les arruinaron toda su siembra pero de nuevo han empezado a sembrar para que tengamos lechuga en la #Navidad url,NP
3259,2458,"@natsukigamer Es la bandera trans así solita. La estoy usando como cobija. (cc @criszis)

Pero la puedes conseguir en rainbowland aca en la CDMX

@ElizaSonrisas hace nada la usó como vestido &lt;3 url",NP
1959,1158,"Para terminar hoy en día después de 4 años de comenzar a hacer esto cada vez estoy más convencido que yo estoy aquí para hacer esto, El drag no cambio mi vida, le dio sentido y es por eso amo hacerlo y lo disfruto 🥹💖",NP
6562,1401,Bis 🕟🕚🕕🕖🕜Amanece que no es poco 💋 11:58 en #MexicoCity url,NA
1643,842,"No soy lesbiana, pendejos.",NP
1359,558,"@ZonaFrancaMX Pequeñito no sabe que no se busca promover odio hacia homosexuales,pero Sí limitar sus ambiciones Liberales y K nos respeten!",NP
445,445,"La verdad Ricky es el mejor amigo hombre que todos deberían tener, yo lo quiero mucho. (Que bueno que no tiene Twitter porque luego me da un putazo por joto) ♥️",P
2383,1582,Cuando era gay panista de derecha. url,NP
3285,2484,"🪧#JusticiaParaCatalinaSantos
🪧#JusticiaParaDevanny

El #EdoMéx y Guanajuato tienen una gran deuda con la comunidad LGBTQ+ —trans, en particular— en el acceso a la justicia y prevención de crímenes de odio. 🏳️‍⚧️🚨🇲🇽 

⚠️ @FiscaliaEdomex 
⚠️ @FGEGUANAJUATO 

url",NP
940,139,"MWES -  54% de los chilenos cree que homosexuales tienen derecho a casarse - En cuanto al matrimonio homosexual,… url",NP
5764,603,El hijo de puta que acaba de llegar de quiere dar a la pasicologa 😂😂😂,NA
2713,1912,@lleJeffrey Soy pansexual. Desaparéceme.,NP
5387,226,La gent envez d preocuparse x su Estupida vida c preocupan x la vida d los url q si como ando vestida q si q url rriidyyy,NA
4671,3870,"Existen más homosexuales en la Iglesia que en la sociedad, afirma sacerdote gay url url",NP
1316,515,"El 90% de la referencias de Rupaul Drag R, vienen de PARIS IS BURNING qlo el que que diga que nopi",NP
540,540,Poropompom el que no salte es un chemo maricon,P
2331,1530,"Es una lastima que siga existiendo la homo-lesbo-trans fobia. No al odio, el amor es el amor. url",NP
4299,3498,"¿PERO COMO PA’ QUE HACEN UNA @MARCHALENCHA SI YA HAY MARCHA DE LESBIANAS??

Jijo por que Marcha Lencha es incluyente. 

Mientras tanto la marcha lésbica… 👇🏻 url",NP
4759,3958,"Wow. Sigo leyendo historias de mujeres trans odiantes que en una época o salieron con o buscaron salir con mujeres trans y las cosas no fueron bien.

Y como que ya entendí todo. Las TERFas son incels :O",NP
1820,1019,El Gus me dejó de hablar 2 días porque no quise ver un programa de dragas con el 🙅🏻‍♂️,NP
2384,1583,"Oye Inge joto @ferkobustos, no ocupas cable  para, automatización, control o voz y datos para tus chambas? O soporteria?",NP
1418,617,"Te animarías a un Taller  donde solo se permita masturbación entre compas, sin penetración, besos ni mamadas de verga. En 1 día exclusivo para Heteros, Hetero Curiosos o bi's.",NP
2049,1248,"Un entrevistado por @Pontifex_es por abuso sexual, ahora homosexual,  imprudentemente o maliciosamente afirmó que el Papa le había dicho que 'Dios lo habia hecho así y así lo amaba'; info sin fundamento @CNNEE como otras declaraciones pubicadas incendiariamente; Un mensaje de Fe url",NP
4273,3472,“Reino Gay y Lésbico de las islas del Coral” es un muy bonito nombre para un antro gay ultra joto. url,NP
3397,2596,"Nunca te calles, que te digan mil veces estupida, loca, que te insulten, que te tiren piedras, que te quieran muda, que se atrevan a juzgarte y que te odien si quieren, pero no te calles. La vida no la viven más bonito los que se callan, no. Insúltame y vuelve a hacerlo, jamáurl url",NP
5541,380,Justo ayer mi tía la loca religiosa de buenos valores y buenos principios me dio mi sermón por estar de borracho el 25 de diciembre pasado y me cito la url url,NA
3129,2328,@MATIASMATILDA Mati.. ¡Ven a México! Anda. Aquí hay tremenda fiesta Trans. @Donperroberto corrobora. Acaba de llegar.,NP
5163,2,"Colectivo Bi’cu Yuba: aerosoles, creatividad, realidades y arte. Hoy “La raíz doble” con @mardoniocarbalo 20:00h url",NA
5439,278,De me antojan unas putas alitas 😫,NA
5989,828,"Damm a Chivas, en su puta vida supo mandar un buen centro, ahora imagínense sin un 9 nato/bueno, gamadre",NA
1924,1123,"Todos merecemos una gran historia de amor.
.
.
.
.
#love #lovesimon #gayboy #gay #gayteen… url",NP
2954,2153,"@SMNYL Se lee bonito y gracias el esfuerzo. Nomás que les creería mucho más si le dejaran de negar servicio a la gente trans.

O no sé.. si les importara lo suficiente como para checar los textos.

De lo demás, a mi si me gustan mis colores. CLARO que se trata de poderlos mostrar. url",NP
4004,3203,"No se si sabían que existe este tipo de persona transfóbica. Que se la pasa “investigando” quien es trans.

Me comentan en mi canal un buen. Y si son de HE INVESTIGADO Y MK VEREDICTO ES.

Y siempre me da risa porque si le ponen GANAS, van a ver “cosas trans” en el 90% de la gente url",NP
5611,450,Mi mejor amigo y yo nos queremos hacer otro amarre (plan viajero) par url el amarre consiste en seguirnos soportando porque bis iremos juntos de nuevo hahahhaa,NA
1789,988,"@unarosquilla Ya están más muertos que mi dignidad cuando se trata de la lencha, Y ESO SÍ QUE ES MUCHO.",NP
6033,872,"Pinche perro empute que traigo porque me tocó atender a una pendeja con el cubre bocas como bufanda, puta madreeee",NA
682,682,@ivnuevo @noser2226 Osea sí eres marica?,P
1807,1006,"Claro, porque ophelia es la única mujer trans en el mundo.
No mames morra, su pinche transfobia no puede taparse para nada. Lol url",NP
6171,1010,"Perdóname mamá por esta vida loca !

Pues gano la opción de #XboxOneX
#RDD2 #RedDeadRedemption2 url",NA
1252,451,"Recap | ES —   La Ciudad adhirió a la Marcha del Orgullo LGTBIQ - En la Argentina, a principios de la década del '80 y tras la desaparición de grupos como Nuestro Mundo o el Frente de Liberación Homosexual (FLH) ... url url",NP
